concept,category,domain,hit_visual,hit_lexical,far_lexical,far_visual,Energy,JPEG_size,PNWS,H,S,V,layer3,layer6,layer8,coca_frequency,name_agreement,NoF_noTax,CS,MD,CSxD
ski,sports,nonliving,0.4,0.604651,0.461538462,0.017857143,12,7114,0.23983,0.13847,0.22011,89.6997,1.0192,1.5731,1.9106,11656,0.68,50,0.12131,0.089777965,2.119015625
ski mask,clothing,nonliving,0.77551,0.2,NA,0.166666667,6,11937,0.40707,0.13844,0.22007,89.6605,0.96932,1.3477,1.6847,223,0.791666667,44,0.15668,0.098230448,2.009343349
skirt,clothing,nonliving,0.454545,0.372093,0.333333333,0.087719298,3,15174,0.80412,0.13899,0.22055,89.7499,0.89473,1.517,1.9833,8167,0.5,54,0.15642,0.111165787,2.661644059
skyscraper,building,nonliving,0.481481,0.5,0.523809524,0.2,4,10592,0.41682,0.13906,0.22043,89.7004,0.96334,1.6204,1.9543,1312,0.791666667,29,0.22227,0.102178985,1.32566475
sled,vehicle,nonliving,0.321429,0.555556,0.464285714,0.224489796,15,11558,0.41584,0.13902,0.22055,89.6882,0.85734,1.5545,2.1371,1243,0.833333333,41,0.16821,0.113703015,1.705266125
sleigh,vehicle,nonliving,0.5,0.422222,0.407407407,0.122807018,6,11411,0.47077,0.13919,0.22055,89.6718,0.88385,1.3884,1.6332,555,0.583333333,42,0.15712,0.094883518,1.767697605
slide,street items,nonliving,0.314286,0.689655,0.393939394,0.12244898,22,7334,0.25554,0.13915,0.2204,89.629,1.1052,1.966,1.8302,7780,1,38,0.14135,0.063383166,1.415980438
slingshot,military,nonliving,0.46875,0.551724,0.470588235,0.125,13,7259,0.2281,0.13907,0.22028,89.5694,0.99542,1.6715,1.8437,308,0.666666667,59,0.16308,0.116975321,1.901263395
slinky,toys,nonliving,0.457143,0.7,0.235294118,0.208333333,25,16744,0.64797,0.13936,0.22054,89.6287,0.76908,1.3579,1.8588,398,0.68,36,0.1328,0.080891424,1.64738866
slipper,clothing,nonliving,0.491228,0.62963,0.375,0.2,4,10562,0.78049,0.13963,0.2208,89.6747,1.0506,1.355,1.8697,2000,0.958333333,46,0.17288,0.119909289,2.05789312
slot machine,electronics,nonliving,0.604167,0.454545,0.533333333,0.361111111,14,16950,0.6702,0.13987,0.22068,89.6866,0.86094,1.2739,1.8006,195,0.652173913,40,0.18047,0.118679574,1.814734739
